fiscalyear,school,from_full,to_full,total_trips,total_emissions
FY17-18,101.0,"Baltimore, MARYLAND, US","Austin, TEXAS, US",3,710.6114516099999
FY17-18,101.0,"Baltimore, MARYLAND, US","Birmingham, ALABAMA, US",2,265.26083178
FY17-18,101.0,"Baltimore, MARYLAND, US","Boston, MASSACHUSETTS, US",48,3445.2700972800003
FY17-18,101.0,"Baltimore, MARYLAND, US","Charleston, SOUTH CAROLINA, US",3,276.18333663
FY17-18,101.0,"Baltimore, MARYLAND, US","Charlotte, NORTH CAROLINA, US",7,491.51271771
FY17-18,101.0,"Baltimore, MARYLAND, US","Chicago, ILLINOIS, US",39,4669.95595263
FY17-18,101.0,"Baltimore, MARYLAND, US","Cincinnati, OHIO, US",3,250.43743236
FY17-18,101.0,"Baltimore, MARYLAND, US","Cleveland, OHIO, US",5,305.2450013
FY17-18,101.0,"Baltimore, MARYLAND, US","Columbus, OHIO, US",2,130.6799686
FY17-18,101.0,"Baltimore, MARYLAND, US","Dallas, TEXAS, US",9,1925.56774977
FY17-18,101.0,"Baltimore, MARYLAND, US","Denver, COLORADO, US",12,3154.49922948
FY17-18,101.0,"Baltimore, MARYLAND, US","Detroit, MICHIGAN, US",11,873.2152529099999
FY17-18,101.0,"Baltimore, MARYLAND, US","Fort Lauderdale, FLORIDA, US",7,1264.27993503
FY17-18,101.0,"Baltimore, MARYLAND, US","Fort Myers, FLORIDA, US",10,1794.4115091
FY17-18,101.0,"Baltimore, MARYLAND, US","Hartford, CONNECTICUT, US",4,271.1756766
FY17-18,101.0,"Baltimore, MARYLAND, US","Houston, TEXAS, US",11,2416.9988208199998
FY17-18,101.0,"Baltimore, MARYLAND, US","Indianapolis, INDIANA, US",6,601.51794504
FY17-18,101.0,"Baltimore, MARYLAND, US","Islip, NEW YORK, US",6,315.89081478
FY17-18,101.0,"Baltimore, MARYLAND, US","Jacksonville, FLORIDA, US",1,129.31465549
FY17-18,101.0,"Baltimore, MARYLAND, US","Kansas City, MISSOURI, US",4,751.31229708
FY17-18,101.0,"Baltimore, MARYLAND, US","Las Vegas, NEVADA, US",4,1485.26107732
FY17-18,101.0,"Baltimore, MARYLAND, US","London, GB",4,2562.94217348
FY17-18,101.0,"Baltimore, MARYLAND, US","Los Angeles, CALIFORNIA, US",13,5339.934597529999
FY17-18,101.0,"Baltimore, MARYLAND, US","Manchester, NEW HAMPSHIRE, US",5,366.68409099999997
FY17-18,101.0,"Baltimore, MARYLAND, US","Miami, FLORIDA, US",8,1477.6588688
FY17-18,101.0,"Baltimore, MARYLAND, US","Minneapolis/St Paul, MINNESOTA, US",12,2183.7207886799997
FY17-18,101.0,"Baltimore, MARYLAND, US","Nashville, TENNESSEE, US",2,228.20233322
FY17-18,101.0,"Baltimore, MARYLAND, US","New Orleans, LOUISIANA, US",14,2469.1846257400002
FY17-18,101.0,"Baltimore, MARYLAND, US","New York, NEW YORK, US",3,131.98177878
FY17-18,101.0,"Baltimore, MARYLAND, US","Newark, NEW JERSEY, US",2,80.77573346
FY17-18,101.0,"Baltimore, MARYLAND, US","Oakland, CALIFORNIA, US",5,2157.30810365
FY17-18,101.0,"Baltimore, MARYLAND, US","Orlando, FLORIDA, US",7,1074.5014134399999
FY17-18,101.0,"Baltimore, MARYLAND, US","Philadelphia, PENNSYLVANIA, US",2,42.79190642
FY17-18,101.0,"Baltimore, MARYLAND, US","Phoenix, ARIZONA, US",13,4583.32887714
FY17-18,101.0,"Baltimore, MARYLAND, US","Pittsburgh, PENNSYLVANIA, US",1,50.24442944
FY17-18,101.0,"Baltimore, MARYLAND, US","Portland, MAINE, US",2,175.93034578
FY17-18,101.0,"Baltimore, MARYLAND, US","Portland, OREGON, US",1,415.71742874
FY17-18,101.0,"Baltimore, MARYLAND, US","Providence, RHODE ISLAND, US",3,190.75374521999998
FY17-18,101.0,"Baltimore, MARYLAND, US","Raleigh/Durham, NORTH CAROLINA, US",11,674.333132
FY17-18,101.0,"Baltimore, MARYLAND, US","Sacramento, CALIFORNIA, US",1,422.26276698
FY17-18,101.0,"Baltimore, MARYLAND, US","Salt Lake City, UTAH, US",2,657.36424052
FY17-18,101.0,"Baltimore, MARYLAND, US","San Diego, CALIFORNIA, US",9,3642.74608203
FY17-18,101.0,"Baltimore, MARYLAND, US","San Francisco, CALIFORNIA, US",15,6501.11298135
FY17-18,101.0,"Baltimore, MARYLAND, US","San Jose, CALIFORNIA, US",4,1720.18564984
FY17-18,101.0,"Baltimore, MARYLAND, US","Seattle, WASHINGTON, US",4,1646.59481988
FY17-18,101.0,"Baltimore, MARYLAND, US","St Louis, MISSOURI, US",2,286.715752
FY17-18,101.0,"Baltimore, MARYLAND, US","Tampa, FLORIDA, US",12,1973.0724811200002
FY17-18,101.0,"Baltimore, MARYLAND, US","Toronto, CA",4,269.94190528
FY17-18,101.0,"Baltimore, MARYLAND, US","West Palm Beach, FLORIDA, US",4,689.67816264
FY17-18,101.0,"Bangkok, TH","Mumbai, IN",1,332.75084403
FY17-18,101.0,"Bangkok, TH","Taipei, TW",5,1366.5604838499999
FY17-18,101.0,"Beijing, CN","Hong Kong, HK",9,1967.84709678
